ItemCode	-	ItemName	-	TOTAL
A-12876	-	BALERO 603049/11	-	121.01062
A-12878	-	BALERO 24780/20	-	145.55216
A-12880	-	BALERO 104949/11	-	112.54726
A-12882	-	BALERO 18590/20	-	95.62054
A-12884	-	BALERO 88048/10	-	131.17106
A-12886	-	BALERO SET 10 U399/U360L	-	209.02736
A-12888	-	BALERO 02474/02420	-	145.55216
A-12890	-	BALERO 539166 A DART K BALERO BAJO	-	458.35486
A-12892	-	BALERO ESFERICO 22210K	-	267.71988
A-12894	-	BALERO ESFERICO 22205MBW33	-	184.29848
A-12896	-	BALERO ESFERICO 22206MBW33	-	220.08042
A-12898	-	BALERO ESFERICO 22207MBW33	-	260.03894
A-12900	-	BALERO ESFERICO 22208MBW33	-	251.32212
A-12902	-	BALERO ESFERICO 22209MBW33	-	266.00076
A-12904	-	BALERO ESFERICO 22210MBW33	-	320.08692
A-12906	-	BALERO ESFERICO 22211MBW33	-	380.12388
A-12908	-	BALERO ESFERICO 22212MBW33	-	395.5078
A-12912	-	BALERO ESFERICO 22213MBW33	-	540.16734
A-12914	-	BALERO ESFERICO 22214MBW33	-	502.65526
A-12916	-	BALERO ESFERICO 22215MBW33	-	536.69604
A-12918	-	BALERO ESFERICO 22216MBW33	-	680.22052
A-12922	-	BALERO ESFERICO 22217MBW33	-	779.10298
A-12924	-	BALERO ESFERICO 22218MBW33	-	1040.35412
A-12926	-	BALERO ESFERICO 22219MBW33	-	1090.7596
A-12928	-	BALERO ESFERICO 22220MBW33	-	1440.45726
A-12932	-	BALERO ESFERICO 22222MBW33	-	1696.71634
A-12934	-	BALERO ESFERICO 22224MBW33	-	2094.38406
A-12936	-	BALERO ESFERICO 22226MBW33	-	2513.26528
A-12938	-	BALERO ESFERICO 22228MBW33	-	3289.5802
A-12940	-	BALERO ESFERICO 22230MBW33	-	3982.1321
A-12942	-	BALERO ESFERICO 22205KMBW33	-	184.29848
A-12944	-	BALERO ESFERICO 22206KMBW33	-	201.0599
A-12946	-	BALERO ESFERICO 22207KMBW33	-	234.57172
A-12948	-	BALERO ESFERICO 22208KMBW33	-	251.32212
A-12950	-	BALERO ESFERICO 22209KMBW33	-	268.08354
A-12952	-	BALERO ESFERICO 22210KMBW33	-	320.08692
A-12954	-	BALERO ESFERICO 22211KMBW33	-	380.12388
A-12956	-	BALERO ESFERICO 22212KMBW33	-	398.19668
A-12958	-	BALERO ESFERICO 22213KMBW33	-	482.36744
A-12960	-	BALERO ESFERICO 22214KMBW33	-	502.65526
A-12962	-	BALERO ESFERICO 22215KMBW33	-	620.18356
A-12964	-	BALERO ESFERICO 22216KMBW33	-	603.1797
A-12966	-	BALERO ESFERICO 22217KMBW33	-	900.30094
A-12968	-	BALERO ESFERICO 22218KMBW33	-	900.30094
A-12970	-	BALERO ESFERICO 22219KMBW33	-	1090.7596
